product_id,offer_id,current_gmc_title,proposed_gmc_title,shopify_product_title,variant_id,variant_sku,size,confidence,source,link,selected_for_apply
online:pt:BR:U9060CCB-10,U9060CCB-10,Tênis New Balance 9060 Bisque Sea Salt Bege,Tênis New Balance 9060 Bisque Sea Salt Bege - Tamanho 43,Tênis New Balance 9060 Bisque Sea Salt Bege,47542843637982,U9060CCB-10,43,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-9060-bisque-sea-salt-bege?currency=BRL&country=BR&variant=47542843637982&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:FB9907102-2,FB9907102-2,Tênis Nike Air Jordan 1 Low SE Sky J Mauve Roxo,Tênis Nike Air Jordan 1 Low SE Sky J Mauve Roxo - Tamanho 35,Tênis Nike Air Jordan 1 Low SE Sky J Mauve Roxo,44665304875230,FB9907102-2,35,alta,shopify_public_product_js,https://lksneakers.com.br/products/air-jordan-1-low-se-sky-j-mauve?currency=BRL&country=BR&variant=44665304875230&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:MR530RB-4,MR530RB-4,Tênis New Balance 530 White Mint Branco,Tênis New Balance 530 White Mint Branco - Tamanho 37,Tênis New Balance 530 White Mint Branco,45468900393182,MR530RB-4,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-530-white-mint-branco?currency=BRL&country=BR&variant=45468900393182&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:YZY-2566238-43,YZY-2566238-43,Tênis Adidas Yeezy Boost 350 V2 Earth Marrom,Tênis Adidas Yeezy Boost 350 V2 Earth Marrom - Tamanho 43,Tênis Adidas Yeezy Boost 350 V2 Earth Marrom,47852668354782,YZY-2566238-43,43,alta,shopify_public_product_js,https://lksneakers.com.br/products/yeezy-boost-350-v2-earth-bege?currency=BRL&country=BR&variant=47852668354782&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DV5464500-3,DV5464500-3,Tênis Nike SB Dunk Low Pro ISO Orange Label Court Purple Roxo,Tênis Nike SB Dunk Low Pro ISO Orange Label Court Purple Roxo - Tamanho 38,Tênis Nike SB Dunk Low Pro ISO Orange Label Court Purple Roxo,44320947798238,DV5464500-3,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-sb-dunk-low-pro-iso-orange-label-court-purple-roxo?currency=BRL&country=BR&variant=44320947798238&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:U9060EEB-2,U9060EEB-2,Tênis New Balance 9060 Moonrock Linen Dark Artic Grey Cinza,Tênis New Balance 9060 Moonrock Linen Dark Artic Grey Cinza - Tamanho 36,Tênis New Balance 9060 Moonrock Linen Dark Artic Grey Cinza,44795132674270,U9060EEB-2,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-9060-moonrock-linen-dark-artic-greycinza?currency=BRL&country=BR&variant=44795132674270&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DR9866001-36,DR9866001-36,Tênis Nike Air Force 1 Low World Champ Lakers Preto,Tênis Nike Air Force 1 Low World Champ Lakers Preto - Tamanho 36,Tênis Nike Air Force 1 Low World Champ Lakers Preto,44265038512350,DR9866001-36,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-air-force-1-low-world-champ-lakers?currency=BRL&country=BR&variant=44265038512350&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:002010763,002010763,Tênis Autry Medalist Low LL15 Branco,Tênis Autry Medalist Low LL15 Branco - Tamanho 38,Tênis Autry Medalist Low LL15 Branco,47543143923934,002010763,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-autry-medalist-low-ll15-branco?currency=BRL&country=BR&variant=47543143923934&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:1203A554100-5,1203A554100-5,Tênis Asics GT-2160 x JJJJound White Branco,Tênis Asics GT-2160 x JJJJound White Branco - Tamanho 40,Tênis Asics GT-2160 x JJJJound White Branco,46183178272990,1203A554100-5,40,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-asics-gt-2160-x-jjjound-white-branco?currency=BRL&country=BR&variant=46183178272990&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:1183C102004-2,1183C102004-2,Tênis Onitsuka Tiger Mexico 66 SD Black Classic Red Preto,Tênis Onitsuka Tiger Mexico 66 SD Black Classic Red Preto - Tamanho 35,Tênis Onitsuka Tiger Mexico 66 SD Black Classic Red Preto,46233511887070,1183C102004-2,35,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-onitsuka-tiger-mexico-66-sd-black-classic-red-preto?currency=BRL&country=BR&variant=46233511887070&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
