offer_id,product_id,product_title,product_handle,vendor,product_type,variant_sku,variant_title,missing_attributes,age_group,gender,size,color,confidence,recommended_surface,write_allowed_now
IH4000-36,online:pt:BR:IH4000-36,Tênis Adidas Tokyo Mary Jane Sandy Pink Earth Strata Rosa,tenis-adidas-tokyo-mary-jane-sandy-pink-earth-strata-rosa,Adidas,Tênis,IH4000-36,36,"age group,gender,size",adult,unisex,36,,medium,supplemental_feed_preview_preferred,False
JS3886-38,online:pt:BR:JS3886-38,Tênis Bad Bunny x Adidas BADBO 1.0 Rise Branco,tenis-adidas-badbo-1-0-rise-branco,adidas,Tênis,JS3886-38,38,"age group,gender,size",adult,unisex,38,,medium,supplemental_feed_preview_preferred,False
1183C428.200-5,online:pt:BR:1183C428.200-5,Tênis Onitsuka Tiger California 78 EX Putty/Green Bege,tenis-onitsuka-tiger-california-78-ex-putty-green-bege,Onitsuka Tiger,Tênis,1183C428.200-5,38,"age group,gender,size",adult,unisex,38,,medium,supplemental_feed_preview_preferred,False
IO7847-001-34,online:pt:BR:IO7847-001-34,Tênis Jordan 1 Retro High OG SP Fragment x Union LA Sport Royal,tenis-jordan-1-retro-high-og-sp-fragment-x-union-la-sport-royal,Jordan,Tênis,IO7847-001-34,34,"age group,gender,size",adult,unisex,34,,medium,supplemental_feed_preview_preferred,False
JR5760,online:pt:BR:JR5760,Tênis Adidas Taekwondo Mei Ballet Clear Sky Gum Azul,tenis-wmns-taekwondo-mei-ballet-adidas-camurca-slip-on-azul,Adidas,Tênis,JR5760,36,"age group,gender,size",adult,female,36,,medium,supplemental_feed_preview_preferred,False
KI3582-41,online:pt:BR:KI3582-41,Tênis Adidas Taekwondo Mei Ballet Cream White Branco,tenis-adidas-taekwondo-mei-ballet-cream-white-branco,Adidas,Tênis,KI3582-41,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
JR7035,online:pt:BR:JR7035,Tênis Adidas Taekwondo Mei Ballet Silver Metallic Prateado,tenis-wmns-taekwondo-mei-ballet-adidas-couro-prata-metalico,Adidas,Tênis,JR7035,37,"age group,gender,size",adult,female,37,,medium,supplemental_feed_preview_preferred,False
1183C123.264-2,online:pt:BR:1183C123.264-2,Tênis Onitsuka Tiger Mexico 66 Sabot Natural Cream Bege,tenis-onitsuka-tiger-mexico-66-sabot-natural-cream-bege-1070119339,Onitsuka Tiger,Tênis,1183C123.264-2,35,"age group,gender,size",adult,unisex,35,,medium,supplemental_feed_preview_preferred,False
JQ6441,online:pt:BR:JQ6441,Tênis Adidas Taekwondo Mei Ballet Clear Pink Gum Rosa,sapatilha-onitsuka-tiger-wmns-taekwondo-mei-ballet-clear-pink-gum-camurca,Adidas,Tênis,JQ6441,41,"age group,gender,size",adult,female,41,,medium,supplemental_feed_preview_preferred,False
HQ4310-200-41,online:pt:BR:HQ4310-200-41,Tênis Nike Mind 002 Light Violet Ore Roxo,tenis-nike-mind-002-light-violet-ore-roxo,Nike,Tênis,HQ4310-200-41,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
1183B577.200-1,online:pt:BR:1183B577.200-1,Tênis Onitsuka Tiger Mexico Mid Runner Birch/Indian Ink Bege,tenis-onitsuka-tiger-mexico-mid-runner-birch-indian-ink-bege,Onitsuka Tiger,Tênis,1183B577.200-1,34,"age group,gender,size",adult,unisex,34,,medium,supplemental_feed_preview_preferred,False
fz8117-102,online:pt:BR:fz8117-102,Tênis Nike Jordan Jumpman Jack TR Travis Scott Bright Cactus Amarelo,tenis-jordan-jumpman-jack-tr-travis-scott-bright-cactus-couro-lona,Jordan,Tênis,fz8117-102,34,"age group,gender,size",adult,unisex,34,,medium,supplemental_feed_preview_preferred,False
U9060CTA-6,online:pt:BR:U9060CTA-6,Tênis New Balance 9060 Fall Suedes Pack Arid Stone Marrom,tenis-new-balance-9060-fall-suedes-pack-arid-stone-marrom,New Balance,Tênis,U9060CTA-6,39,"age group,gender,size",adult,unisex,39,,medium,supplemental_feed_preview_preferred,False
1203B011-100-41,online:pt:BR:1203B011-100-41,Tênis ASICS Marvel vs. Bonécom x Kith x ASICS Gel Kayano 14 Ryu Branco,tenis-asics-marvel-vs-capcom-x-kith-x-asics-gel-kayano-14-ryu-branco,ASICS,Tênis,1203B011-100-41,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
FQ8138-600-45,online:pt:BR:FQ8138-600-45,Tênis Jordan 4 Retro Toro Bravo 2026 Vermelho,tenis-jordan-4-retro-toro-bravo-2026-vermelho,Jordan,Tênis,FQ8138-600-45,45,"age group,gender,size",adult,unisex,45,,medium,supplemental_feed_preview_preferred,False
1183B577.751-8,online:pt:BR:1183B577.751-8,Tênis Onitsuka Tiger Mexico Mid Runner Amarelo,tenis-onitsuka-tiger-mexico-mid-runner-amarelo,Onitsuka Tiger,Tênis,1183B577.751-8,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
1183C480-001-8,online:pt:BR:1183C480-001-8,Tênis Onitsuka Tiger Mexico 66 Glitter Pack Black Gunmetal Preto,tenis-onitsuka-tiger-mexico-66-glitter-pack-black-gunmetal-preto,Onitsuka Tiger,Tênis,1183C480-001-8,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
JQ0965,online:pt:BR:JQ0965,Tênis Adidas Taekwondo Mei Ballet White Scarlet Gum Vermelho,tenis-adidas-wmns-taekwondo-mei-white-scarlet-gum-couro,Adidas,Tênis,JQ0965,39,"age group,gender,size",adult,female,39,,medium,supplemental_feed_preview_preferred,False
1183C480-021-4,online:pt:BR:1183C480-021-4,Tênis Onitsuka Tiger Mexico 66 Glitter Pack Pure Silver Prateado,tenis-onitsuka-tiger-mexico-66-glitter-pack-pure-silver-prateado,Onitsuka Tiger,Tênis,1183C480-021-4,37,"age group,gender,size",adult,unisex,37,,medium,supplemental_feed_preview_preferred,False
HM4743403,online:pt:BR:HM4743403,,,,,,,"age group,gender,size",adult,unisex,,,low,manual_review_before_write,False
1183B577.751-7,online:pt:BR:1183B577.751-7,Tênis Onitsuka Tiger Mexico Mid Runner Amarelo,tenis-onitsuka-tiger-mexico-mid-runner-amarelo,Onitsuka Tiger,Tênis,1183B577.751-7,40,"age group,gender,size",adult,unisex,40,,medium,supplemental_feed_preview_preferred,False
1201B020-100-41,online:pt:BR:1201B020-100-41,Tênis ASICS Gel-1130 White Pure Silver Prata,tenis-asics-gel-1130-white-pure-silver-prata,ASICS,Tênis,1201B020-100-41,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
IQ7166-800-35,online:pt:BR:IQ7166-800-35,Tênis Nike Vomero Premium x Melitta Baumeister Total Orange Laranja,tenis-nike-vomero-premium-x-melitta-baumeister-total-orange-laranja,Nike,Tênis,IQ7166-800-35,35,"age group,gender,size",adult,unisex,35,,medium,supplemental_feed_preview_preferred,False
U204L6A6-42,online:pt:BR:U204L6A6-42,Tênis New Balance 204L Reflection Bege,tenis-new-balance-204l-reflection-bege,New Balance,Tênis,U204L6A6-42,42,"age group,gender,size",adult,unisex,42,,medium,supplemental_feed_preview_preferred,False
