priority,bucket,recommended_action,product_id,channel,offer_id,reconciliation_offer_id,title,source,availability,item_group_id,gtin_present,mpn,exact_sku_match,exact_variant_match,product_id_match,gtin_barcode_match,mpn_match,has_local_and_online_normalized_counterpart,evidence,approval_status
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-101-42,online,LIA_HQ4307-101-42,LIA_HQ4307-101-42,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-101-43,online,LIA_HQ4307-101-43,LIA_HQ4307-101-43,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-101-44,online,LIA_HQ4307-101-44,LIA_HQ4307-101-44,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-101-45,online,LIA_HQ4307-101-45,LIA_HQ4307-101-45,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-101-46,online,LIA_HQ4307-101-46,LIA_HQ4307-101-46,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-38,online,LIA_HQ4307-300-38,LIA_HQ4307-300-38,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-39,online,LIA_HQ4307-300-39,LIA_HQ4307-300-39,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-40,online,LIA_HQ4307-300-40,LIA_HQ4307-300-40,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-41,online,LIA_HQ4307-300-41,LIA_HQ4307-300-41,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-42,online,LIA_HQ4307-300-42,LIA_HQ4307-300-42,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-43,online,LIA_HQ4307-300-43,LIA_HQ4307-300-43,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-300-44,online,LIA_HQ4307-300-44,LIA_HQ4307-300-44,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-38,online,LIA_HQ4307-400-38,LIA_HQ4307-400-38,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-39,online,LIA_HQ4307-400-39,LIA_HQ4307-400-39,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-40,online,LIA_HQ4307-400-40,LIA_HQ4307-400-40,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-41,online,LIA_HQ4307-400-41,LIA_HQ4307-400-41,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-42,online,LIA_HQ4307-400-42,LIA_HQ4307-400-42,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-43,online,LIA_HQ4307-400-43,LIA_HQ4307-400-43,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-400-44,online,LIA_HQ4307-400-44,LIA_HQ4307-400-44,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-601,online,LIA_HQ4307-601,LIA_HQ4307-601,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-602,online,LIA_HQ4307-602,LIA_HQ4307-602,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-603,online,LIA_HQ4307-603,LIA_HQ4307-603,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-604,online,LIA_HQ4307-604,LIA_HQ4307-604,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
