old_product_id_to_delete,old_offer_id,correct_existing_product_id_to_keep,correct_offer_id,title,evidence,preview_status
online:pt:BR:ALO-8506462-S,ALO-8506462-S,online:pt:BR:ALO-8506462-S,ALO-8506462-S,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-8506462-XS,ALO-8506462-XS,online:pt:BR:ALO-8506462-XS,ALO-8506462-XS,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9029342-M,ALO-9029342-M,online:pt:BR:ALO-9029342-M,ALO-9029342-M,Moletom De Capuchin Sweet Escape Zip Up,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9260126-L,ALO-9260126-L,online:pt:BR:ALO-9260126-L,ALO-9260126-L,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9260126-M,ALO-9260126-M,online:pt:BR:ALO-9260126-M,ALO-9260126-M,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9260126-S,ALO-9260126-S,online:pt:BR:ALO-9260126-S,ALO-9260126-S,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9260126-XS,ALO-9260126-XS,online:pt:BR:ALO-9260126-XS,ALO-9260126-XS,Moletom Alo Yoga Cropped Serenity Coverup Navy Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9507806-L,ALO-9507806-L,online:pt:BR:ALO-9507806-L,ALO-9507806-L,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9507806-M,ALO-9507806-M,online:pt:BR:ALO-9507806-M,ALO-9507806-M,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9507806-S,ALO-9507806-S,online:pt:BR:ALO-9507806-S,ALO-9507806-S,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-9507806-XS,ALO-9507806-XS,online:pt:BR:ALO-9507806-XS,ALO-9507806-XS,Calça Alo Yoga Airbrush High-Waist Heart Throb Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:APH-6956510-OS,APH-6956510-OS,online:pt:BR:APH-6956510-OS,APH-6956510-OS,Boné Aphase Connect - Stoned Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
