old_product_id,old_offer_id,new_product_id,new_offer_id,title,resolution_reason,execution_status,insert_status,delete_status,error_class
online:pt:BR:ALO-0341470-L,ALO-0341470-L,,,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0341470-M,ALO-0341470-M,,,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0341470-S,ALO-0341470-S,,,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0341470-XS,ALO-0341470-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0865758-L,ALO-0865758-L,,,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0865758-M,ALO-0865758-M,,,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0865758-S,ALO-0865758-S,,,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-0865758-XS,ALO-0865758-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1193438-L,ALO-1193438-L,,,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1193438-M,ALO-1193438-M,,,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1193438-S,ALO-1193438-S,,,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1193438-XS,ALO-1193438-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1465950-OS,ALO-1465950-OS,,,Boné Alo Yoga Off-Duty Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1750494-L,ALO-1750494-L,,,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1750494-M,ALO-1750494-M,,,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-1750494-S,ALO-1750494-S,,,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
