product_id,offer_id,merchant_title,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,has_price_required_attr,decision_reasons
online:pt:BR:2258634078163248862,2258634078163248862,Calça Chino Saint Studio Supima Preto,age group; color; gender; price; size,"{""color"": ""Preto"", ""ageGroup"": ""adult"", ""gender"": ""unisex""}","{""color"": ""title_color_token_aggressive"", ""ageGroup"": ""default_adult_lucas_completeness_policy"", ""gender"": ""default_unisex_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,True,color filled from title token or Multicolor fallback; ageGroup default adult; gender default unisex; price remains excluded
online:pt:BR:1863698749035586532,1863698749035586532,44,size,"{""sizes"": [""44""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:4531110532523186885,4531110532523186885,39,size,"{""sizes"": [""39""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:2198938218729451562,2198938218729451562,37,size,"{""sizes"": [""37""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:MTB16,MTB16,MEDICOM TOY - Bearbrick Pushead #6 400% Toy Art Multi-Color,color; size,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:ALO-4649822-OS,ALO-4649822-OS,Meia Alo Yoga Throwback Barre Branca,size,"{""sizes"": [""Único""]}","{""sizes"": ""offer_or_title_one_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:2162246425358063315,2162246425358063315,40/40.5,size,"{""sizes"": [""40""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:14088693984092512857,14088693984092512857,Boné 6 Panel Aimé Leon Dore Embroidered Logo Branco,age group; color; gender; price,"{""color"": ""Branco"", ""ageGroup"": ""adult"", ""gender"": ""unisex""}","{""color"": ""title_color_token_aggressive"", ""ageGroup"": ""default_adult_lucas_completeness_policy"", ""gender"": ""default_unisex_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,True,color filled from title token or Multicolor fallback; ageGroup default adult; gender default unisex; price remains excluded
online:pt:BR:15050545522805546621,15050545522805546621,Pop Mart Labubu The Monsters Tasty Macarons Toffee Vinyl Plush Pingente,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:SLCRBVNV-1,SLCRBVNV-1,Camiseta Slyce Racquet Club Bordada Azul Marinho,color,"{""color"": ""Azul""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
