product_id,offer_id,merchant_title,fresh_required_attrs,shopify_match,shopify_product_title,shopify_variant_title,shopify_tags_color,suggested_attributes,evidence,decision_state,apply_allowed_now
online:pt:BR:9780847872657,9780847872657,Livro Rizzoli From Soul to Sole: The Adidas Sneakers of Jacques Chassaing,color; size,True,"{""id"":15795578,""product_id"":52650,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47699427426526,""inventory_item_id"":49814817177822,""product_title"":null,""title"":""Default Title"",""sku"":""9780847872657"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":649.99,""compare_at_price"":649.99,""cost_price"":null,""inventory_quantity"":1,""barcode"":""9780847872657"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.735561+00:00"",""updated_at"":""2026-04-10T01:53:51.735561+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:9780847866694,9780847866694,Livro Rizzoli Nike SB: The Dunk Book,color; size,True,"{""id"":15795577,""product_id"":52651,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47699427393758,""inventory_item_id"":49814817145054,""product_title"":null,""title"":""Default Title"",""sku"":""9780847866694"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":649.99,""compare_at_price"":649.99,""cost_price"":null,""inventory_quantity"":1,""barcode"":""9780847866694"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.735561+00:00"",""updated_at"":""2026-04-10T01:53:51.735561+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:9783836571968,9783836571968,Livro Taschen The Adidas Archive: The Footwear Collection,color; size,True,"{""id"":15795572,""product_id"":52653,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47699427229918,""inventory_item_id"":49814816981214,""product_title"":null,""title"":""Default Title"",""sku"":""9783836571968"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":1499.99,""compare_at_price"":1499.99,""cost_price"":null,""inventory_quantity"":5,""barcode"":""9783836571968"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.735561+00:00"",""updated_at"":""2026-04-10T01:53:51.735561+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:9783836591089,9783836591089,"Livro Taschen The Adidas Archive: The Footwear Collection 21,7x15,6",color; size,True,"{""id"":15795580,""product_id"":52654,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47699427492062,""inventory_item_id"":49814817243358,""product_title"":null,""title"":""Default Title"",""sku"":""9783836591089"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":329.99,""compare_at_price"":329.99,""cost_price"":null,""inventory_quantity"":1,""barcode"":""9783836591089"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.735561+00:00"",""updated_at"":""2026-04-10T01:53:51.735561+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:9783836597982,9783836597982,Livro Taschen The Ultimate Sneaker Book 15 x 21,color; size,True,"{""id"":15795579,""product_id"":52656,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47699427459294,""inventory_item_id"":49814817210590,""product_title"":null,""title"":""Default Title"",""sku"":""9783836597982"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":329.99,""compare_at_price"":329.99,""cost_price"":null,""inventory_quantity"":1,""barcode"":""9783836597982"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.735561+00:00"",""updated_at"":""2026-04-10T01:53:51.735561+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:9783836585095,9783836585095,Livro Taschen Virgil Abloh Nike ICONS,color; size,True,"{""id"":15795573,""product_id"":52657,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47699427262686,""inventory_item_id"":49814817013982,""product_title"":null,""title"":""Default Title"",""sku"":""9783836585095"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":799.99,""compare_at_price"":799.99,""cost_price"":null,""inventory_quantity"":6,""barcode"":""9783836585095"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.735561+00:00"",""updated_at"":""2026-04-10T01:53:51.735561+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:15690098651674929383,15690098651674929383,M/m,size,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:5627606835540697766,5627606835540697766,M/m,color; size,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:MTB16,MTB16,MEDICOM TOY - Bearbrick Pushead #6 400% Toy Art Multi-Color,color; size,True,"{""id"":15789730,""product_id"":52670,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":46479542124766,""inventory_item_id"":48581517574366,""product_title"":null,""title"":""Default Title"",""sku"":""MTB16"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":1599.99,""compare_at_price"":1599.99,""cost_price"":null,""inventory_quantity"":10,""barcode"":null,""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:50.044749+00:00"",""updated_at"":""2026-04-10T01:53:50.044749+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:ALO-4649822-OS,ALO-4649822-OS,Meia Alo Yoga Throwback Barre Branca,size,False,,,,{},{},blocked_no_safe_suggestion,False
