product_id,merchant_title,shopify_variant_title,packet_missing_attributes,fresh_missing_required_attrs,current_sizes,current_age_group,current_gender,suggested_sizes,suggested_age_group,suggested_gender,review_decision_state,review_reasons,apply_allowed_now
online:pt:BR:DN1635-100-1,Tenis Nike Air Jordan 1 Low SE Craft Inside Out White Phantom Bege,41,age group; gender; size,age group; gender; size,,,,41,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:FD9711-602-37,Tenis Nike Air Zoom Vomero 5 Doernbecher 2023 Laranja,37,age group; gender; size,age group; gender; size,,,,37,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:VN000E3QBX9,Tenis Vans Knu Skool MTE-1 LX Imran Potato Azul,36,age group; gender; size,age group; gender; size,,,,36,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:JQ9230-1,Tênis Adidas Ballerina Bad Bunny Bold Gold Amarelo,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:JH5439-1,Tênis Adidas Handball Spezial Bordô,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:IF6490-1,Tênis Adidas Handball Spezial Earth Strata Gum Marrom,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:43774078387110,Tênis Adidas Handball Spezial Preloved Brown Orange Tint Gum Marrom,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:JR4482-34,Tênis Adidas Samba Jane Chalk White Wonder Quartz Branco,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:43774078387680,Tênis Adidas Samba Jane White Blue Gum Branco,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:JS3931-1,Tênis Adidas Samba LT Cow Print Brown White Marrom,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
