old_product_id_deleted,old_offer_id,old_normalized_sku,replacement_local_product_ids_kept,title,package_origin,old_present_preflight,replacement_local_present_preflight,execution_status,delete_status,old_absent_live_verified,replacement_ids_present_live_verified,error_message
local:pt:BR:LIA_REP-4448862-L,LIA_REP-4448862-L,REP-4448862-L,local:pt:BR:LIA_Rep20,Camiseta Represent Clo Revere Manor Stained Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4448862-M,LIA_REP-4448862-M,REP-4448862-M,local:pt:BR:LIA_Rep20,Camiseta Represent Clo Revere Manor Stained Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4448862-S,LIA_REP-4448862-S,REP-4448862-S,local:pt:BR:LIA_Rep20,Camiseta Represent Clo Revere Manor Stained Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4448862-XL,LIA_REP-4448862-XL,REP-4448862-XL,local:pt:BR:LIA_Rep20,Camiseta Represent Clo Revere Manor Stained Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4481630-L,LIA_REP-4481630-L,REP-4481630-L,local:pt:BR:LIA_Rep19,Camiseta Represent Clo Revere Manor Aged White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4481630-M,LIA_REP-4481630-M,REP-4481630-M,local:pt:BR:LIA_Rep19,Camiseta Represent Clo Revere Manor Aged White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4481630-S,LIA_REP-4481630-S,REP-4481630-S,local:pt:BR:LIA_Rep19,Camiseta Represent Clo Revere Manor Aged White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4481630-XL,LIA_REP-4481630-XL,REP-4481630-XL,local:pt:BR:LIA_Rep19,Camiseta Represent Clo Revere Manor Aged White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4547166-L,LIA_REP-4547166-L,REP-4547166-L,local:pt:BR:LIA_Rep17,Camiseta Represent Clo Shark Jaws Off Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4547166-M,LIA_REP-4547166-M,REP-4547166-M,local:pt:BR:LIA_Rep17,Camiseta Represent Clo Shark Jaws Off Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4547166-S,LIA_REP-4547166-S,REP-4547166-S,local:pt:BR:LIA_Rep17,Camiseta Represent Clo Shark Jaws Off Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4547166-XL,LIA_REP-4547166-XL,REP-4547166-XL,local:pt:BR:LIA_Rep17,Camiseta Represent Clo Shark Jaws Off Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4645470-L,LIA_REP-4645470-L,REP-4645470-L,local:pt:BR:LIA_Rep15,Camiseta Represent Clo Storms In Heaven Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4645470-M,LIA_REP-4645470-M,REP-4645470-M,local:pt:BR:LIA_Rep15,Camiseta Represent Clo Storms In Heaven Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4645470-S,LIA_REP-4645470-S,REP-4645470-S,local:pt:BR:LIA_Rep15,Camiseta Represent Clo Storms In Heaven Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-4645470-XL,LIA_REP-4645470-XL,REP-4645470-XL,local:pt:BR:LIA_Rep15,Camiseta Represent Clo Storms In Heaven Black Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
